id,title,release_date,release_year,release_month,days_until_release,popularity,vote_average,vote_count,genres,original_language,overview
1318621,Descendants: Wicked Wonderland,2026-07-16,2026,7,96,1.7497,0.0,0,"Fantasy, Familj, 10770, 10402",en,"Now that the Queen of Hearts is nice and Cinderella is safe, things seem perfect for Red and Chloe… But little do they know that changing the past created a new villain - Maddox Hatter. When Maddox captures the Queen of Hearts, Red and Chloe must work with Red’s new sister Pink, Luisa Madrigal’s son Luis and Maddox’s son Max to save her and Wonderland."
1151265,La Fille dans les nuages,2026-07-22,2026,7,102,0.5119,0.0,0,"Animerat, Äventyr, Fantasy",fr,"The adventures of a young girl named Providence, who is entrusted with a magic quill that makes everything she writes come true. Faced with this incredible power, she has to choose between living her dreams and saving the world."
1617335,Kids' Festival! All the Heroes of Justice Appear,2026-07-31,2026,7,111,0.0239,0.0,0,"99, Action, Äventyr, Sci-Fi, Fantasy",ja,Kids' Festival! All the Heroes of Justice Appear was a televised celebration of tokusatsu heroes in 1976.
1365362,"Kyma, l'onde mystérieuse",2026-08-05,2026,8,116,0.5481,0.0,0,"Fantasy, Äventyr",fr,
1135463,Viana – The Legend of the Golden Hearts,2026-08-06,2026,8,117,0.8534,0.0,0,"Animerat, Äventyr, 10749, Fantasy, 10402",pt,"In the north of medieval Portugal, the beautiful Ana falls in love with Thomas, a poor artisan. Her father immediately forbids their union, demanding that his daughter’s suitors produce a jewel as proof of their nobility. But the young couple refuse to give up. With the help of their faithful companions, the generosity of the townswomen and the talent of a mysterious jewellery maker, Ana and Thomas will face many challenges out of love, including the powerful and evil Duke of Aragon."
1565925,Cakey Heaven,2026-08-15,2026,8,126,0.1326,0.0,0,"Äventyr, Animerat, Fantasy",en,"On the morning of her childhood dog’s 13th birthday, Florrie is hard at work in the kitchen, preparing the perfect surprise for her senior terrier, Coco Merrytail - one final, wordless celebration of a bond that’s nearing its soft, inevitable fade."
1661276,Shiranui,2026-08-21,2026,8,132,0.4689,0.0,0,"Animerat, Fantasy, Drama",ja,"Summer 1996 – Minato, a 10-year-old boy, is neglected by his alcoholic father and keeps to himself at home in a town by the sea. His only source of solace is Ben-chan, a girl goddess that appears on Benten Island. As Minato faces a new life in an orphanage and a painful parting from Ben-chan, he makes a wish to Shiranui for her. However, growing hatred toward his father gradually turns the wish into a malicious ""curse"" against him…"
1627984,Kristofers un divu pasauļu atslēga,2026-08-21,2026,8,132,0.0998,0.0,0,"Äventyr, Fantasy, Familj",lv,
1620243,My Armor,2026-08-21,2026,8,132,0.1035,0.0,0,"Drama, Fantasy, 9648",en,"A story of April, whose inability to express her grief to her mother leads to a surreal confrontation with a Knight."
1533249,Soul Trader,2026-08-21,2026,8,132,0.7503,0.0,0,"Komedi, Fantasy, Skräck, Drama",en,A despondent soul arrives in a strange place where he must confront his (mostly) inner demons.
1182935,The Unknown,2026-08-26,2026,8,137,0.7023,0.0,0,Fantasy,fr,"See you soon 40 years old, David Zimmerman is a photographer but no one knows. While he almost never leaves home, friends drag him to a crazy party. He spots a woman in the crowd, can't take his eyes off her, follows her... In the middle of the night, his life changes. David wakes up... in the body of the unknown."
822653,Puella Magi Madoka Magica the Movie -Walpurgisnacht: Rising-,2026-08-28,2026,8,139,3.271,0.0,0,"Animerat, Drama, 9648, Fantasy",ja,"After the events of Rebellion, the world appears to be in balance—but that peace is fragile. As a new threat connected to Walpurgisnacht emerges, Homura Akemi is forced to face the consequences of her choices and question how far she is willing to go to protect Madoka."
1484222,Onethong,2026-09-03,2026,9,145,0.7766,0.0,0,"Drama, 10749, Fantasy, Komedi",th,"A modern-day woman finds herself transported into the body of Onethong, a character in the literary world of Khun Chang Khun Phaen. She must survive and find a way to escape the tragic fate of the character, who is destined to face execution."
790798,Jessica Frost,2026-09-04,2026,9,146,0.3612,0.0,0,"Action, Fantasy, Sci-Fi",en,"Pursued by a ruthless, time-jumping psychopath and his squad of assassins, a young woman plagued by family secrets must journey through the desert and beyond the boundaries of reality to find out who she really is and claim her destiny."
