movie_id,company_id,company_name,origin_country
6217,46976,RKO Pictures,US
6217,19683,Charles Fries Productions,US
75,174,Warner Bros. Pictures,US
75,8601,Tim Burton Productions,US
321612,2,Walt Disney Pictures,US
321612,10227,Mandeville Films,US
14411,521,DreamWorks Animation,US
14411,7,DreamWorks Pictures,US
426063,10146,Focus Features,US
426063,77863,Studio 8,US
426063,41641,Maiden Voyage Pictures,US
426063,239430,Birch Hill Road Entertainment,US
159824,5,Columbia Pictures,US
159824,2251,Sony Pictures Animation,US
159824,2531,MRC,US
81,29,Topcraft,JP
81,1779,Tokuma Shoten,JP
81,13411,Hakuhodo,JP
430162,5644,Magic Light Pictures,GB
430162,23953,Triggerfish,ZA
10323,8846,Peerford Ltd.,
10323,21,Metro-Goldwyn-Mayer,US
10323,138398,Charles H. Schneer Productions,US
10323,1582,Titan Productions,
475215,15662,Studio Chizu,JP
475215,14789,D.N. Dream Partners,JP
475215,9070,NTT Docomo,JP
475215,6755,Nippon Television Network Corporation,JP
475215,2073,KADOKAWA,JP
460885,34519,SpectreVision,US
460885,12142,XYZ Films,US
460885,19037,uMedia,BE
460885,108869,Legion M,US
460885,22309,Piccadilly Pictures,GB
460885,12352,Wallimage,BE
2134,40552,Galaxy Films Inc.,
2134,4864,George Pal Productions,
2134,21,Metro-Goldwyn-Mayer,US
1646671,62703,Anima-Pol,PL
2137,72349,B.O.B & Partners Co. Ltd,HK
2137,971,Centro Digital Pictures,HK
2137,2521,Orange Sky Golden Harvest,HK
10330,93528,Casual Friday Productions,
10330,3538,Gunn Films,US
10330,2,Walt Disney Pictures,US
10336,12,New Line Cinema,US
10336,3907,Pull Down Your Pants Pictures,
10336,23364,Todd McFarlane Entertainment,
10336,4286,Juno Pix,US
407655,174,Warner Bros. Pictures,US
407655,773,Film Afrika,ZA
350312,57946,Arka Media Works,IN
137321,433,Weed Road Pictures,US
137321,79,Village Roadshow Pictures,US
137321,174,Warner Bros. Pictures,US
137321,2527,Marc Platt Productions,US
14442,7692,World 2000 Entertainment,IE
14442,85437,Enchanted Productions,
1226863,6704,Illumination,US
1226863,33,Universal Pictures,US
1226863,12288,Nintendo,JP
503919,30666,RT Features,BR
503919,6531,Parts & Labor,US
503919,41077,A24,US
503919,508,Regency Enterprises,US
26736,240533,Disney Channel,US
26736,3812,It's a Laugh Productions,US
950387,174,Warner Bros. Pictures,US
950387,923,Legendary Pictures,US
950387,110691,Mojang Studios,SE
950387,829,Vertigo Entertainment,US
950387,159602,On the Roam,US
950387,216687,Domain Entertainment,US
1542261,882,TOHO,JP
1542261,15329,Fujiko Productions,JP
1542261,9149,Shogakukan,JP
1542261,9300,TV Asahi,JP
1542261,5141,Shin-Ei Animation,JP
1542261,4720,ADK,JP
1542261,12655,Shogakukan-Shueisha Productions,JP
