movie_id,genre_id
10198,10749
10198,14
10198,10751
533514,16
533514,18
533514,14
533514,10749
842924,14
842924,18
464052,28
464052,12
464052,14
810,14
810,12
810,16
810,35
810,10751
9738,28
9738,14
9738,878
400155,16
400155,35
400155,10751
400155,14
10693,16
10693,10751
10693,12
10693,14
508943,16
508943,10751
508943,14
508943,35
508943,18
4523,35
4523,10751
4523,14
4523,10749
11596,27
11596,9648
11596,14
615677,10751
615677,28
615677,14
615677,35
496450,16
496450,14
496450,28
496450,10749
496450,10751
14128,10751
14128,16
14128,10749
14128,14
433,35
433,10751
433,14
529203,16
529203,10751
529203,12
529203,14
529203,35
560057,16
560057,12
560057,28
560057,10751
560057,14
228161,14
228161,35
228161,16
228161,878
228161,10751
425909,14
425909,35
425909,12
1022796,16
1022796,10751
1022796,14
1022796,12
6435,10749
6435,35
6435,14
592983,16
592983,14
592983,10751
592983,12
592983,35
957452,28
957452,14
957452,27
12222,16
12222,35
12222,10751
12222,12
12222,14
901362,16
901362,10751
901362,10402
901362,14
901362,35
901362,12
5255,16
5255,10751
5255,14
5255,12
353486,12
353486,35
353486,14
353486,28
11653,28
11653,12
11653,35
11653,18
11653,14
620249,16
620249,14
620249,28
81,12
81,16
81,14
2454,12
2454,10751
2454,14
1241921,10749
1241921,14
1241921,18
75,35
75,14
75,878
2668,14
2668,53
2668,9648
2668,27
2907,35
2907,14
446893,10751
446893,16
446893,35
446893,14
446893,12
446893,10402
297,14
297,18
297,10749
10140,12
10140,10751
10140,14
360920,10751
360920,35
360920,16
360920,14
974262,14
974262,12
974262,10751
974262,35
162,14
162,18
162,10749
293863,10749
293863,14
293863,18
60304,14
60304,27
60304,28
310,14
310,35
2758,35
2758,10751
2758,14
896536,10751
896536,14
896536,12
8839,14
8839,35
8839,10751
6477,35
6477,10751
6477,14
6477,16
137,10749
137,14
137,35
123553,14
123553,28
123553,9648
277217,10751
277217,12
277217,14
277217,10770
277217,10402
36586,14
36586,27
36586,28
36586,53
116745,12
116745,35
116745,18
116745,14
337401,12
337401,14
337401,28
9339,35
9339,18
9339,14
228165,10751
228165,16
228165,12
228165,14
228165,35
462677,16
462677,12
462677,14
462677,10751
462677,878
462677,35
364,28
364,14
338970,28
338970,12
338970,14
181533,12
181533,35
181533,14
181533,10751
846422,28
846422,14
927254,16
927254,35
927254,10751
927254,14
441130,16
441130,10751
441130,12
441130,14
268896,28
268896,14
268896,878
268896,12
856,14
856,16
856,35
856,80
531219,35
531219,14
531219,10751
531219,27
508439,16
508439,10751
508439,14
508439,12
508439,35
503919,18
503919,14
503919,53
526896,28
526896,878
526896,14
615925,14
615925,27
412656,14
412656,878
412656,12
32657,12
32657,14
32657,10751
11527,12
11527,14
274857,28
274857,18
274857,14
50620,14
50620,18
50620,10749
11283,14
11283,35
11283,10751
9495,14
9495,28
9495,53
10196,28
10196,12
10196,14
18823,12
18823,14
18823,28
916224,16
916224,18
916224,12
916224,14
62213,35
62213,14
1571470,14
1571470,18
1571470,12
252,10751
252,14
252,35
1353117,27
1353117,14
1353117,53
1353117,9648
1353117,28
2268,12
2268,14
798286,35
798286,12
798286,14
